Backlog Name,Comparison Mode,Persona Precision,Entity Precision,Action Precision,Benefit Precision,Persona Recall,Entity Recall,Action Recall,Benefit Recall,Persona F-Measure,Entity F-Measure,Action F-Measure,Benefit F-Measure
g26,1,1.0,0.7697160883280757,0.8152173913043478,0.8163265306122449,1.0,0.7947882736156352,0.75,0.8163265306122449,1.0,0.782051282051282,0.7812500000000001,0.8163265306122449
g11,1,1.0,0.8093023255813954,0.813953488372093,0.8970588235294118,1.0,0.8169014084507042,0.6521739130434783,0.8970588235294118,1.0,0.8130841121495327,0.7241379310344828,0.8970588235294118
g02,1,1.0,0.8210526315789474,0.8217821782178217,0.7833333333333333,1.0,0.8253968253968254,0.6535433070866141,0.7833333333333333,1.0,0.8232189973614774,0.7280701754385963,0.7833333333333333
g04,1,0.9791666666666666,0.7426900584795322,0.8144329896907216,0.875,0.9791666666666666,0.774390243902439,0.6810344827586207,0.875,0.9791666666666666,0.7582089552238805,0.7417840375586854,0.875
g17,1,1.0,0.7568807339449541,0.7549019607843137,0.9830508474576272,1.0,0.6875,0.6470588235294118,0.9830508474576272,1.0,0.7205240174672489,0.6968325791855204,0.9830508474576272
g08,1,1.0,0.8636363636363636,0.6923076923076923,0.8,1.0,0.8364779874213837,0.4891304347826087,0.8,1.0,0.8498402555910542,0.5732484076433121,0.8000000000000002
g21,1,1.0,0.8231046931407943,0.841726618705036,0.7058823529411765,1.0,0.76,0.6324324324324324,0.7058823529411765,1.0,0.7902946273830157,0.7222222222222223,0.7058823529411765
g27,1,1.0,0.7361376673040153,0.782608695652174,0.7027027027027027,1.0,0.6660899653979239,0.6101694915254238,0.7027027027027027,1.0,0.6993642143505904,0.6857142857142858,0.7027027027027027
g16,1,1.0,1.0,0.3333333333333333,1.0,1.0,0.9,0.2857142857142857,1.0,1.0,0.9473684210526316,0.30769230769230765,1.0
g05,1,1.0,0.7982062780269058,0.8952380952380953,0.8461538461538461,1.0,0.7739130434782608,0.7642276422764228,0.8461538461538461,1.0,0.7858719646799116,0.824561403508772,0.8461538461538461
g03,1,1.0,0.8245614035087719,0.9210526315789473,0.9272727272727272,1.0,0.8068669527896996,0.7241379310344828,0.9272727272727272,1.0,0.8156182212581344,0.8108108108108109,0.9272727272727272
g10,1,1.0,0.7301136363636364,0.8092485549132948,0.8,1.0,0.7536656891495601,0.6730769230769231,0.8,1.0,0.7417027417027416,0.7349081364829396,0.8000000000000002
g28,1,1.0,0.8424242424242424,0.8762886597938144,0.9827586206896551,1.0,0.776536312849162,0.85,0.9827586206896551,1.0,0.8081395348837209,0.8629441624365483,0.9827586206896551
g24,1,0.9807692307692307,0.8317757009345794,0.7407407407407407,0.6346153846153846,0.9807692307692307,0.8054298642533937,0.6349206349206349,0.6346153846153846,0.9807692307692307,0.8183908045977011,0.6837606837606837,0.6346153846153846
g22,1,1.0,0.7398648648648649,0.8506493506493507,0.9102564102564102,1.0,0.7041800643086816,0.6009174311926605,0.9102564102564102,1.0,0.7215815485996705,0.7043010752688171,0.9102564102564102
g19,1,1.0,0.8176943699731903,0.925531914893617,0.9302325581395349,1.0,0.8448753462603878,0.6987951807228916,0.9302325581395349,1.0,0.8310626702997276,0.7963386727688787,0.9302325581395349
g13,1,1.0,0.6717948717948717,0.6792452830188679,0.7843137254901961,1.0,0.6238095238095238,0.4931506849315068,0.7843137254901961,1.0,0.6469135802469136,0.5714285714285714,0.7843137254901961
g23,1,1.0,0.8738738738738738,0.9411764705882353,1.0,1.0,0.8290598290598291,0.8888888888888888,1.0,1.0,0.8508771929824561,0.9142857142857143,1.0
g25,1,1.0,0.8233333333333334,0.9047619047619048,0.963855421686747,1.0,0.7993527508090615,0.8407079646017699,0.963855421686747,1.0,0.8111658456486044,0.8715596330275229,0.963855421686747
g18,1,1.0,0.8150470219435737,0.8203592814371258,0.8877551020408163,1.0,0.8,0.681592039800995,0.8877551020408163,1.0,0.8074534161490684,0.7445652173913043,0.8877551020408163
g14,1,1.0,0.7336244541484717,0.8345864661654135,0.8,1.0,0.7336244541484717,0.6453488372093024,0.8,1.0,0.7336244541484715,0.7278688524590164,0.8000000000000002
g12,1,1.0,0.7160493827160493,0.8481012658227848,0.7346938775510204,1.0,0.7435897435897436,0.6907216494845361,0.7346938775510204,1.0,0.7295597484276728,0.7613636363636364,0.7346938775510203
